Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2003","An","1903126"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2004","An","1818037"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2005","An","1811216"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2006","An","1680535"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2007","An","1676327"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2008","An","1609289"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2009","An","1528740"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2010","An","1519900"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2011","An","1482592"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2012","An","1363364"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2013","An","1398875"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2014","An","1377351"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2015","An","1435300"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2016","An","1471200"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2017","An","1382300"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2018","An","1417200"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2019","An","1481200"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2020","An","1389300"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2021","An","1372500"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2022","An","1416270"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2023","An","1326440"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","1995","An","8000"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","1996","An","5000"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","1997","An","5000"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","1998","An","4600"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","1999","An","5000"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2000","An","3400"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2001","An","3000"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2002","An","2700"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2003","An","3595"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2004","An","7090"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2005","An","4399"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2006","An","1934"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2007","An","1362"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2008","An","1813"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2009","An","1717"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2010","An","1896"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2011","An","1558"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2012","An","1848"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2013","An","2986"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2014","An","3145"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2015","An","2655"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2016","An","1642"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2017","An","1299"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2018","An","1636"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2019","An","1436"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2020","An","990"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2021","An","1353"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2022","An","1648"
"Crops and livestock products","Türkiye","Stocks","Swine / pigs","2023","An","1673"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","1995","An","7627000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","1996","An","7590000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","1997","An","8072000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","1998","An","8146000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","1999","An","7284000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2000","An","6482000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2001","An","5845000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2002","An","5588000"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2003","An","5046800"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2004","An","5160600"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2005","An","4863600"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Stocks","Swine / pigs","2006","An","4933000"
