Domain,Reporter Countries,Partner Countries,Element,Item,Year,Unit,Value
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2019","t","1530.79"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2020","t","832.64"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2021","t","776.88"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2022","t","621.81"
"Detailed trade matrix","Denmark","Italy","Export Quantity","Swine / pigs","1995","An","214"
"Detailed trade matrix","Denmark","Italy","Export Quantity","Swine / pigs","1996","An","724"
"Detailed trade matrix","Denmark","Italy","Export Quantity","Swine / pigs","1997","An","5284"
"Detailed trade matrix","Denmark","Italy","Export Quantity","Swine / pigs","1998","An","29902"
"Detailed trade matrix","Denmark","Italy","Export Quantity","Swine / pigs","1999","An","5935"
"Detailed trade matrix","Denmark","Italy","Export Quantity","Swine / pigs","2000","An","9215"
